Movie_Name,Rating,Voting_Count,Duration,Genre
Twisters,6.5,0,2h 2m,Action
Gladiator II,6.5,0,2h 28m,Action
Sonic the Hedgehog 3,6.9,0,1h 50m,Action
Kraven the Hunter,5.5,0,2h 7m,Action
Deadpool & Wolverine,7.6,0,2h 8m,Action
Civil War,7.0,0,1h 49m,Action
Dune: Part Two,8.5,0,2h 46m,Action
The Ministry of Ungentlemanly Warfare,6.8,0,2h 2m,Action
Venom: The Last Dance,6.0,0,1h 50m,Action
The Beekeeper,6.3,0,1h 45m,Action
The Count of Monte-Cristo,7.6,0,2h 58m,Action
Freaky Tales,7.2,0,1h 47m,Action
Furiosa: A Mad Max Saga,7.5,0,2h 28m,Action
Transformers One,7.6,0,1h 44m,Action
Carry-On,6.5,0,1h 59m,Action
Borderlands,4.7,0,1h 41m,Action
Fight or Flight,6.4,0,1h 37m,Action
The Fall Guy,6.8,0,2h 6m,Action
The Crow,4.7,0,1h 51m,Action
Road House,6.2,0,2h 1m,Action
Rebel Ridge,6.8,0,2h 11m,Action
Pushpa: The Rule - Part 2,6.1,0,3h 21m,Action
Madame Web,4.0,0,1h 56m,Action
The Lord of the Rings: The War of the Rohirrim,6.3,0,2h 14m,Action
Elevation,5.6,0,1h 31m,Action
Absolution,5.2,0,1h 52m,Action
Bad Boys: Ride or Die,6.5,0,1h 55m,Action
Red One,6.3,0,2h 3m,Action
Solo Leveling: ReAwakening,8.7,0,2h 1m,Action
Love Lies Bleeding,6.6,0,1h 44m,Action
Argylle,5.6,0,2h 19m,Action
Damsel,6.1,0,1h 50m,Action
William Tell,5.7,0,2h 13m,Action
The Union,5.4,0,1h 47m,Action
Godzilla x Kong: The New Empire,6.0,0,1h 55m,Action
Kingdom of the Planet of the Apes,6.9,0,2h 25m,Action
Land of Bad,6.6,0,1h 53m,Action
Hellboy: The Crooked Man,4.5,0,1h 39m,Action
Kung Fu Panda 4,6.3,0,1h 34m,Action
Werewolves,4.4,0,1h 33m,Action
Homestead,5.3,0,1h 52m,Action
Survive,4.5,0,1h 30m,Action
Monkey Man,6.8,0,2h 1m,Action
Aftermath,5.1,0,1h 37m,Action
The Killer's Game,5.8,0,1h 44m,Action
The Instigators,6.2,0,1h 41m,Action
Beverly Hills Cop: Axel F,6.4,0,1h 58m,Action
Lift,5.5,0,1h 47m,Action
Gunner,3.2,0,1h 46m,Action
Classified,3.7,0,1h 45m,Action
Blitz,6.2,0,2h,Action
Uglies,4.7,0,1h 40m,Action
