Movie_Name,Rating,Voting_Count,Duration,Genre
Gladiator II,6.5,231000,148,Action
Freaky Tales,6.5,2800,107,Action
Twisters,6.5,169000,122,Action
Kraven the Hunter,5.5,56000,127,Action
Deadpool & Wolverine,7.6,493000,128,Action
Sonic the Hedgehog 3,6.9,60000,110,Action
Civil War,7.0,238000,109,Action
Dune: Part Two,8.5,626000,166,Action
The Ministry of Ungentlemanly Warfare,6.8,135000,122,Action
Venom: The Last Dance,6.0,118000,110,Action
Furiosa: A Mad Max Saga,7.5,286000,148,Action
The Beekeeper,6.3,157000,105,Action
Carry-On,6.5,166000,119,Action
The Count of Monte-Cristo,7.6,35000,178,Action
Fight or Flight,6.4,7500,97,Action
The Fall Guy,6.8,221000,126,Action
Borderlands,4.7,48000,101,Action
Rebel Ridge,6.8,88000,131,Action
Transformers One,7.6,51000,104,Action
Azrael,5.4,11000,86,Action
Armor,3.6,4100,89,Action
Madame Web,4.0,101000,116,Action
Love Lies Bleeding,6.6,57000,104,Action
Road House,6.2,168000,121,Action
The Crow,4.7,35000,111,Action
Absolution,5.2,8200,112,Action
The Lord of the Rings: The War of the Rohirrim,6.3,31000,134,Action
Bad Boys: Ride or Die,6.5,100000,115,Action
The Union,5.4,53000,107,Action
Argylle,5.6,93000,139,Action
Elevation,5.6,22000,91,Action
Damsel,6.1,110000,110,Action
Kingdom of the Planet of the Apes,6.9,152000,145,Action
Pushpa: The Rule - Part 2,6.1,56000,201,Action
Red One,6.3,140000,123,Action
Godzilla x Kong: The New Empire,6.0,122000,115,Action
Monkey Man,6.8,92000,121,Action
Homestead,5.3,3600,112,Action
The Instigators,6.2,38000,101,Action
Drive-Away Dolls,5.4,23000,84,Action
Lift,5.5,49000,107,Action
Survive,4.5,2600,90,Action
Solo Leveling: ReAwakening,8.8,12000,121,Action
Kung Fu Panda 4,6.3,68000,94,Action
Drive Back,4.7,431,94,Action
Land of Bad,6.6,51000,113,Action
William Tell,5.7,2600,133,Action
Hellboy: The Crooked Man,4.5,14000,99,Action
Beverly Hills Cop: Axel F,6.4,81000,118,Action
The Killer's Game,5.8,17000,104,Action
Uglies,4.7,33000,100,Action
Blitz,6.2,16000,120,Action
Thelma,7.0,23000,98,Action
Werewolves,4.4,6700,93,Action
Under Paris,5.2,36000,104,Action
The Killer,5.7,13000,126,Action
Maharaja,8.4,67000,141,Action
Aftermath,5.1,4100,97,Action
Attack on Titan the Movie: The Last Attack,9.2,16000,145,Action
Dirty Angels,4.3,3500,104,Action
My Hero Academia: You're Next,7.0,2200,110,Action
Descendants: The Rise of Red,4.7,7100,91,Action
11 Rebels,6.2,443,155,Action
